"split","aAcc","fAcc","qAcc"
"Overall","52.99684542586751","23.98843930635838","25.71428571428571"
"VS","56.666666666666664","22.413793103448278","31.46067415730337"
"VD","50.76142131979695","24.782608695652176","22.021660649819495"
"VD_ocr","70.78651685393258","46.51162790697674","41.86046511627907"
"VS_chart","42.30769230769231","7.5","27.631578947368425"
"VD_illusion","48.61111111111111","24.193548387096776","18.055555555555554"
"VD_video","40.588235294117645","8.333333333333332","11.594202898550725"
"VS_ocr","59.25925925925925","26.923076923076923","29.629629629629626"
"VD_math","50.92592592592593","11.11111111111111","25.925925925925924"
"VS_table","73.21428571428571","32.142857142857146","46.51162790697674"
"VD_figure","53.75","34.146341463414636","20.51282051282051"
"VS_map","54.6875","31.818181818181817","21.875"
