"Category","tot","acc"
"ocr_math","11","18.181818181818183"
"ocr_spat_math","14","35.714285714285715"
"rec_ocr_spat_math","1","0.0"
"rec_spat","12","65.83333333333333"
"ocr_spat","26","49.61538461538461"
"rec_ocr_spat","7","28.57142857142857"
"ocr_know_spat","3","36.66666666666667"
"rec_ocr","4","75.0"
"rec_know_spat","2","0.0"
"ocr","108","39.351851851851855"
"rec","187","46.14973262032085"
"rec_know","9","6.666666666666667"
"rec_know_gen","62","26.451612903225808"
"rec_ocr_know_gen","8","23.75"
"rec_ocr_gen_spat","8","11.249999999999998"
"ocr_gen_spat","2","35.0"
"Overall","218","40.22935779816513"
