"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","613","436","61.3","43.6"
"scientific reasoning","122","96","56","78.68852459016394","45.90163934426229"
"textbook question answering","158","113","71","71.51898734177216","44.936708860759495"
"numeric commonsense","144","59","48","40.97222222222222","33.33333333333333"
"arithmetic reasoning","353","158","145","44.759206798866856","41.07648725212464"
"visual question answering","179","103","70","57.54189944134078","39.10614525139665"
"geometry reasoning","239","165","89","69.0376569037657","37.238493723849366"
"algebraic reasoning","281","193","106","68.68327402135232","37.72241992882562"
"geometry problem solving","208","151","79","72.59615384615384","37.980769230769226"
"math word problem","186","79","85","42.473118279569896","45.69892473118279"
"logical reasoning","37","25","10","67.56756756756756","27.027027027027028"
"figure question answering","269","167","131","62.0817843866171","48.698884758364315"
"statistical reasoning","301","156","152","51.82724252491694","50.498338870431894"
